EXTRACT_DE,ORG_CAR_MAKER_KOR,TRVL,USE_YEAR
20210101,링컨,206000,12.9
20160201,크라이슬러,189000,11.6
20220701,스바루,260000,11.7
20180301,닷지,216000,16.1
20221201,포드,182000,12.8
20160801,미쓰비시,229000,10.5
20190101,포드,215000,13.0
20230101,마쯔다,205000,16.8
20180801,크라이슬러,171000,12.9
20190701,아큐라,208000,8.1
20180501,지프,226000,13.0
20180201,미니,125000,10.6
20240601,닛산,182000,13.1
20240601,크라이슬러,199000,15.3
20220801,마쯔다,180000,9.3
20191201,스마트,110000,7.3
20160401,볼보,202000,14.3
20150701,폭스바겐,199000,9.8
20161201,마쯔다,335000,9.3
20240301,크라이슬러,206000,14.5
20160601,미쓰비시,185000,12.5
20160101,스바루,123000,9.4
20160101,BMW,217000,13.7
20170101,BMW,211000,14.3
20200801,마쯔다,267000,7.9
20231201,미니,155000,12.8
20210801,미니,144000,11.6
20221101,미니,157000,12.9
20170801,미니,121000,11.3
20210201,미니,162000,11.7
20220301,미니,171000,12.0
20190101,미니,116000,9.8
20190401,스바루,134000,10.1
20160601,벤츠,231000,13.9
20230501,캐딜락,184000,13.8
20170801,지프,192000,14.3
20160201,미니,133000,10.5
20160901,미니,118000,10.2
20220901,지프,217000,13.8
20200401,랜드로버,251000,14.2
20170801,아우디,217000,12.8
20180601,아우디,208000,13.1
20221001,시트로엥,179000,9.7
20230801,시트로엥,197000,10.1
20201201,시트로엥,153000,6.1
20180101,크라이슬러,192000,12.2
20200201,크라이슬러,190000,13.4
20210401,크라이슬러,200000,14.1
20230501,크라이슬러,217000,14.5
20190501,크라이슬러,207000,12.4
20240601,지프,215000,13.9
20200401,링컨,197000,12.9
20210701,링컨,197000,13.2
20170701,링컨,197000,13.0
20220201,링컨,182000,13.4
20240201,링컨,189000,12.9
20201101,링컨,206000,12.0
20220601,링컨,202000,13.4
20230101,링컨,193000,12.3
20220301,시트로엥,102000,9.2
20201101,시트로엥,162000,7.9
20220201,포르쉐,144000,13.6
20220701,지프,213000,12.6
20210501,지프,248000,14.3
20170701,지프,291000,14.9
20200301,지프,256000,13.7
20200901,지프,234000,13.9
20170301,크라이슬러,186000,12.2
20180801,캐딜락,182000,13.2
20170701,캐딜락,202000,12.8
20170401,캐딜락,206000,13.6
20160701,캐딜락,144000,13.5
20160901,캐딜락,180000,12.0
20220901,캐딜락,182000,13.3
20160401,캐딜락,176000,12.5
20191101,캐딜락,168000,12.2
20221001,캐딜락,189000,13.6
20220301,캐딜락,174000,13.7
20160101,폭스바겐,201000,9.0
20180201,푸조,196000,10.8
20211001,푸조,190000,12.4
20171101,푸조,185000,11.0
20160301,푸조,208000,12.0
20220401,푸조,206000,12.6
20200601,푸조,196000,12.3
20190201,푸조,195000,10.9
20240101,푸조,198000,11.6
20230801,푸조,200000,12.3
20181101,포르쉐,112000,11.6
20230801,피아트,145000,8.9
20191001,사브,183000,16.2
20171101,사브,186000,14.8
20240301,사브,196000,20.2
20211001,사브,172000,18.1
20180301,사브,180000,15.4
20201101,사브,213000,16.8
20200801,사브,185000,16.4
20210901,사브,201000,19.1
20170101,사브,209000,18.3
20220101,사브,205000,19.5
20190101,사브,194000,18.8
20160501,사브,194000,14.0
20150701,사브,224000,16.3
20220701,사브,201000,18.1
20221101,사브,182000,17.5
20160401,푸조,197000,10.2
20190601,푸조,209000,11.7
20200401,닷지,168000,11.5
20160801,사브,200000,16.5
20180501,사브,221000,17.8
20160301,닷지,220000,17.5
20160201,포드,180000,13.9
20220401,피아트,112000,8.4
20231001,피아트,176000,9.8
20200301,재규어,185000,11.2
20171001,재규어,158000,9.3
20191101,재규어,173000,12.8
20210201,재규어,213000,11.8
20170601,재규어,171000,9.1
20160601,볼보,200000,14.7
20210601,볼보,217000,15.0
20190201,렉서스,231000,13.5
20180601,렉서스,229000,13.3
20220401,재규어,221000,12.1
20170501,재규어,154000,8.5
20200201,랜드로버,208000,16.5
20220601,랜드로버,257000,14.1
20191101,랜드로버,233000,14.7
20230301,랜드로버,236000,12.9
20181201,랜드로버,246000,15.1
20200601,랜드로버,239000,14.4
20161201,혼다,208000,12.4
20201001,랜드로버,266000,15.4
20171101,랜드로버,202000,12.4
20170201,재규어,208000,10.0
20151001,재규어,271000,9.4
20240301,FOTON,162000,7.3
20230401,마세라티,148000,8.3
20230801,마세라티,129000,8.9
20220101,마세라티,167000,7.0
20230301,포르쉐,149000,8.7
20190901,인피니티,188000,11.6
20220201,인피니티,194000,13.1
20170601,인피니티,156000,9.5
20160401,인피니티,198000,8.6
20190601,인피니티,183000,10.5
20220901,스바루,241000,11.0
20230201,스바루,239000,11.7
20230301,스바루,227000,12.0
20190301,스바루,268000,7.3
20220401,스바루,212000,10.2
20231001,스바루,226000,12.6
20230101,스바루,153000,11.8
20181201,스바루,100000,7.9
20170201,스바루,235000,5.3
20230901,닛산,185000,12.5
