EXTRACT_DE,ORG_CAR_MAKER_KOR,TRVL,USE_YEAR
20200201,르노코리아,219000,14.8
20220201,기아,216000,15.3
20220501,르노코리아,215000,15.5
20170901,한국지엠,179000,15.4
20180601,KGM,238000,15.6
20211101,한국지엠,180000,15.4
20211101,KGM,227000,16.7
20170601,르노코리아,233000,14.1
20190901,한국지엠,180000,15.3
20220701,기아,219000,15.6
20160101,한국지엠,186000,15.0
20200701,KGM,228000,15.9
20220901,현대,219000,16.5
20221001,기아,218000,15.8
20201101,KGM,231000,16.5
20230901,KGM,227000,16.2
20230601,KGM,227000,16.4
20240601,한국지엠,181000,16.4
20210701,기아,219000,15.6
20210801,르노코리아,217000,15.4
20230501,한국지엠,178000,15.8
20230101,KGM,226000,15.6
20190601,KGM,231000,15.7
20210401,KGM,230000,17.2
20221101,KGM,230000,17.0
20171001,기아,215000,15.3
20240101,KGM,227000,15.5
20180501,르노코리아,226000,14.3
20171001,르노코리아,219000,13.9
20230101,한국지엠,174000,15.6
20221001,KGM,230000,16.9
20210701,KGM,227000,16.2
20210201,한국지엠,177000,15.2
20231001,쉐보레,179000,10.6
20201101,쉐보레,164000,8.0
20230901,쉐보레,177000,10.5
20210901,르노코리아,216000,15.4
20230601,쉐보레,182000,10.4
20210101,쉐보레,169000,8.2
20221001,쉐보레,176000,9.7
20220701,쉐보레,177000,9.6
20210701,쉐보레,165000,8.7
20180601,르노코리아,225000,14.6
20150801,르노코리아,246000,13.0
20200801,쉐보레,165000,7.8
20191101,쉐보레,152000,7.4
20181001,쉐보레,144000,6.6
20210201,쉐보레,166000,8.3
20180601,쉐보레,142000,6.2
20200901,쉐보레,169000,8.0
20170701,쉐보레,139000,5.7
20160701,쉐보레,107000,5.2
20230501,제네시스,192000,6.4
20220701,제네시스,163000,6.0
20240501,제네시스,184000,6.9
20220601,제네시스,175000,5.5
20161201,기아,213000,15.1
20160301,기아,216000,14.9
20211101,현대,222000,16.7
20180301,현대,218000,16.3
20170601,현대,215000,16.5
20180701,현대,216000,16.5
20230301,현대,229000,16.9
20181201,기아,211000,15.4
20180501,현대,216000,16.5
20200901,현대,220000,16.5
20170701,현대,212000,16.4
20181201,현대,213000,16.6
20210601,현대,223000,16.8
20170401,현대,214000,16.4
20160901,현대,213000,16.6
20190201,기아,222000,15.4
20190401,현대,221000,16.3
20210301,르노코리아,222000,15.2
20180901,현대,215000,16.4
20170201,기아,218000,14.8
20171001,KGM,239000,15.6
20200901,르노코리아,221000,15.0
20191101,기아,228000,15.7
20210901,한국지엠,179000,15.3
20181001,한국지엠,178000,15.4
20190901,KGM,228000,15.6
20210701,르노코리아,218000,15.3
20210601,한국지엠,178000,15.2
20220201,현대,221000,16.5
20200101,르노코리아,223000,14.8
20171101,기아,217000,15.4
20170701,기아,214000,15.2
20211201,기아,220000,15.4
20180101,기아,214000,15.2
20160901,기아,213000,15.1
20220601,기아,221000,15.8
20210601,KGM,227000,16.8
20220101,한국지엠,179000,15.3
20220101,KGM,228000,15.7
20170501,KGM,238000,15.3
20171201,르노코리아,223000,13.9
20240201,르노코리아,210000,16.3
20231101,기아,220000,15.9
20170301,KGM,233000,15.1
20190701,KGM,232000,15.5
20190701,르노코리아,222000,14.7
20190201,한국지엠,179000,15.3
20201001,르노코리아,219000,15.1
20220301,한국지엠,179000,15.4
20240401,르노코리아,213000,16.4
20161001,기아,213000,15.1
20220101,르노코리아,215000,15.4
20171001,한국지엠,179000,15.5
20191101,KGM,230000,16.0
20231101,르노코리아,214000,16.2
20171101,한국지엠,180000,15.5
20170601,KGM,239000,15.3
20231101,KGM,226000,16.4
20200401,르노코리아,220000,15.2
20180901,르노코리아,226000,14.5
20220301,르노코리아,218000,15.6
20191101,르노코리아,223000,14.7
20190901,르노코리아,220000,14.4
20201101,한국지엠,181000,15.2
20230401,한국지엠,181000,15.8
20230701,쉐보레,181000,10.5
20220601,쉐보레,171000,9.4
20221101,쉐보레,180000,9.8
20210501,쉐보레,165000,8.4
20201001,쉐보레,175000,8.1
20230501,쉐보레,180000,10.4
20150701,KGM,246000,14.8
20160701,르노코리아,234000,13.8
20171101,르노코리아,225000,13.9
20180101,르노코리아,223000,14.1
20170901,르노코리아,227000,13.9
20190801,쉐보레,158000,7.2
20190101,쉐보레,147000,6.8
20170901,쉐보레,164000,5.8
20220801,제네시스,165000,5.9
20230601,제네시스,220000,6.4
20240301,제네시스,200000,7.0
20210701,제네시스,211000,5.0
20170101,현대,212000,16.3
20160101,현대,212000,16.4
20151201,기아,213000,15.1
20230801,현대,227000,17.0
20190701,현대,218000,16.5
20220301,현대,223000,16.8
20190501,현대,218000,16.4
20180901,기아,218000,15.4
20161101,현대,213000,16.5
20190601,한국지엠,179000,15.5
20200701,기아,221000,15.5
20190101,KGM,234000,15.3
20230401,르노코리아,215000,16.3
20210801,기아,220000,15.6
20160201,한국지엠,183000,15.0
20160801,한국지엠,183000,15.4
20170601,한국지엠,180000,15.4
20240301,현대,230000,16.9
20160701,현대,213000,16.5
20190501,기아,221000,15.5
20200601,한국지엠,180000,15.3
20240601,현대,230000,17.1
20151001,KGM,247000,14.8
20191201,KGM,228000,15.9
20191201,현대,220000,16.5
20170601,기아,218000,15.2
20190901,기아,223000,15.5
20240201,기아,213000,15.8
20190501,르노코리아,226000,14.6
20200901,기아,220000,15.6
20151201,한국지엠,185000,15.1
20230301,한국지엠,183000,15.8
20211101,르노코리아,218000,15.3
20150901,한국지엠,185000,14.9
20210801,한국지엠,180000,15.3
20231001,르노코리아,214000,16.2
20181101,기아,217000,15.4
20200501,한국지엠,180000,15.2
20220501,한국지엠,182000,15.4
20211201,르노코리아,217000,15.5
20210901,KGM,228000,16.4
20170401,KGM,236000,15.2
20200501,기아,223000,15.8
20220401,기아,227000,16.0
20200901,한국지엠,179000,15.2
20150701,르노코리아,244000,13.0
20160301,KGM,240000,14.8
20240601,KGM,227000,16.3
20161101,한국지엠,183000,15.3
20210701,한국지엠,179000,15.3
20221201,KGM,228000,16.5
20230301,KGM,225000,16.6
20170801,KGM,239000,15.4
20180301,르노코리아,226000,14.3
20210801,KGM,228000,16.2
20180701,KGM,236000,15.5
20170901,KGM,239000,15.4
20211001,한국지엠,180000,15.4
20210301,KGM,225000,16.7
20220801,르노코리아,213000,16.0
20221201,한국지엠,175000,15.5
20230401,KGM,227000,16.9
20231201,쉐보레,180000,10.8
20220201,르노코리아,217000,15.6
20221201,쉐보레,176000,9.9
20230201,쉐보레,178000,10.0
20220401,쉐보레,167000,9.3
20201201,쉐보레,160000,8.2
20240101,쉐보레,183000,10.9
20230301,쉐보레,177000,10.2
20170301,르노코리아,230000,13.8
20190501,쉐보레,153000,7.0
20161201,쉐보레,146000,5.5
20180901,쉐보레,165000,6.5
20190401,쉐보레,152000,7.0
20180801,쉐보레,140000,6.5
20191001,쉐보레,165000,7.3
20180501,쉐보레,145000,6.2
20170101,쉐보레,191000,5.5
20221001,제네시스,173000,6.1
20240601,기아,220000,15.9
20170301,현대,216000,16.3
20200601,현대,220000,16.5
20220101,쉐보레,168000,9.0
20221101,한국지엠,174000,15.6
20231201,기아,218000,15.9
20210401,현대,227000,17.0
20220401,르노코리아,215000,15.6
20191001,기아,228000,15.7
20190401,KGM,230000,16.0
20191001,현대,223000,16.4
20210501,KGM,229000,17.1
20210201,현대,218000,16.4
20190101,기아,212000,15.4
20200301,기아,225000,15.7
20191201,한국지엠,180000,15.5
20170701,한국지엠,179000,15.5
20191001,르노코리아,220000,14.5
20211201,KGM,225000,16.3
20200301,르노코리아,222000,14.9
20150901,기아,215000,14.9
20171101,KGM,241000,15.5
